,color,review,review_of_text,review_title,style_name,verified_purchase
0,Black,"Sold kidney bought this, now not feeling well but the number of days I am alive with one kidney will enjoy using this phone. Guys be careful if you rich it’s ok else sell something else but not kidney it hurts",Reviewed in India on 21 November 2020,Kidney as a load balancer,128GB,Verified Purchase
1,(PRODUCT)RED,"Worst battery performance.
Iphone 11 is far better den this..
In 4 hour battery will come down from 100 to 15 percent.
Please dont buy this product at this price.",Reviewed in India on 7 November 2020,Worst battery,64GB,Verified Purchase
2,Blue," Another beauty from Apple. I was upgraded from iPhone X and it was great experience with all the latest specs and flawlessly smooth. Thanks to all new A14 Bionic chip.
Build quality was great as always from Apple.
Phone feels light on hands due to aluminium body. I chose Blue colour because wanted to go for different colour than routine Black and white iPhones so initially I was bit skeptical but after seeing the phone in person I’m happy with the blue colour “ not bad at all and not too flashy”
Grip and feel perfect. Phone comes with iOS 14.1. Camera quality was excellent and sufficient as a normal user.
If you are from iOS ecosystem nothing will go wrong here.
There is nothing to question about the quality and interface from Apple ( it’s my personal opinion as a long time apple user)
As you all know iPhone 12 won’t comes with earphones and charging brick( adapter)
I bought separately 20w apple adapter from new Apple India online store for Rs.1900
I don’t judge here apple because of accessories removal and the price tag. I hope apple can justify this.
I only hope and wanted to see so badly Made in India IPhones so that we all can enjoy lower priced ( at least a better priced) iPhones in the future.
A big thanks to Appario Retail Pvt. Ltd and Amazon for delivering genuine iPhone as always in perfect condition. Delivered way before the promised date.
Update: (01/12/2020) After testing 25 days especially on battery life of this iPhone 12, results were amazing and I’m completely satisfied with the battery performance. On Moderate gaming, Moderate Video Content, heavy on calls and heavy on browsing this iPhone 12 battery life is sufficient for your regular Day.
My conclusion is definitely a better and improved battery performer than the previous iPhone model.
Thank you Apple India
Thank you Appario Retail Pvt. Ltd.
Thank you Amazon India.
( Note: charger brick was shown in my video was bought myself from Apple India online store because it won’t comes with the phone)",Reviewed in India on 7 November 2020,"Another Fabulous IPhone ( IPhone 12, Blue 64GB)",64GB,Verified Purchase
3,(PRODUCT)RED,"Extremely disappointed with this phone. It’s a seemingly average phone which is over priced by 4 to 5 times at least. This phone is a joke in comparison with any Samsung flagship phone. I am shocked that so many fools like me are falling for apple’s trickery and gimmickry.

The battery doesn’t last half a day. Screen size is average. Thickness of this phone will constantly remind you that this phone belongs to another era. 64gb space won’t be enough for anyone.

And then there are other apple quirks - won’t come with a SD card, won’t come with a charging brick or a set of head phones. Your headphones with the regular audio pin won’t work with this one. Face ID won’t work with masks on. So your forced to remove your masks when you’re out and vulnerable. This phone won’t allow you set google maps as default. So you continue to suffer using their apple map which I bet even Tim Cook doesn’t use. You won’t be able to set google chrome as your default browser as iOS won’t let you.

Overall the phone is overpriced and overrated. Anybody with half the wit will figure that this phone is a joke and a mere marketing gimmick. An ordinary phone like this shouldn’t cost you more than 12 to 14K.

Apple is going down!

Amazon won’t take this phone back as they have a 10 day return policy. So I am pretty much stuck with this damn excuse for a phone till I get to upgrade to a Samsung phone.",Reviewed in India on 7 January 2021,This phone is a joke and the joke is on us!!! Don’t buy this phone.,64GB,Verified Purchase
4,White,"This was my first switch to an ios device after using an android untill now. And I am not disappointed. The build quality, the responsive touch, the display, the camera, the battery life are just exceptional.
Been using for about 10 days now, and consistently giving around 7h of screen on time.
The camera is just way too good. Espeecially the night mode impressed me a lot.
Only issue when switching from Android to iPhone I encountered was to be not able to restore my whatsapp chats. There are no official/free ways for doing this.
The phone is simple amazing.",Reviewed in India on 13 November 2020,The Beast,128GB,Verified Purchase
5,Black,"If you are planning to buy an iphone then please buy from stores only.
I got a defective product and when I complain about it to amazon customer care and requested for replacement they simply deny to replace it.
Don't waste your money.",Reviewed in India on 7 February 2021,Don't Buy from Amazon,64GB,Verified Purchase
6,Black,"Hello there,
I am writing this review after 3-4 days of usage, Iphone 12 is a beast in terms of:-
Memory
Build quality
Camera
Processor
Display
Except battery there’s rumour going on that iPhone 12 battery is bad or worst, so i am here to clarify all your doubts,
iPhone battery will last easily a day but not more than that and here’s some condition that you should aware about
1. If you are using your phone on wifi than it will last a day easily without any problem.
2. If you are on 4g than it will not last a day for example, if you fully charged your phone at 8 am than it will last till 8 pm not more than that and this happen if you’re on 4g continuously otherwise it will last about 10 pm.
Here’s some tip you should do after buying iPhone 12, watch video on YouTube to know “How to save battery on iPhone 12” this will help you increase your battery life as well battery health.
For my experience, i think you should go for this device without any second thoughts & those who don’t have any tech knowledge and thinking of buying this then I recommend you to go for android because iOS has complicate settings than android...you will regret after buying it.

Got original product Btw!!!!!",Reviewed in India on 9 November 2020,Beast🤩🤩🤩🤩,128GB,Verified Purchase
7,Green,"Nicely packed !! Kudos to seller !!
I was very much confused between iphone 11 and this one as the price of iphone dropped ... But i am glad i chose this over iphone 11.
1.Display:
Main upgrade in iphone 12 is the oled display. Boy o boy the screen is amazing. I have user many android flagship's but this beats them all.
2.Battery:
Battery is amazing. I am getting 1.5 days of battery life with my usage.
PS: i dont play games.
3.IOS:
This is my 1st iphone and the experience with ios is great ... Very smooth animations ..even though its not 90hz screen but everything is buttery smooth.
4. Camera:
The pics from this phone is superb. FLAGSHIP LEVEL CAMERA! You will not be dissapointed.
5 Build &Design :
This phone looks and feels very premium compared to other phones.Very comfotable to use.
6.Face Id:
Face id works very fast and accurate in low lighting conditions.
7.Updates:
Ios14 is good and we can expect another 4yrs of software updates thats huge !

Cons:
1.Priced very high but it may be because of high taxes and custom duty.
2.No charger and earpods in the box.
3.Notifications are a mess ...android is better in managing new notifications.

Overall a great Phone IF You are OK with the Price !!!",Reviewed in India on 8 November 2020,99.99% Perfect Smartphone !!,128GB,Verified Purchase
8,Blue,"I have been an android user for the past 8+ years. Recently was using iphone 6 for the past few months, liked it much and wanted to switch to ios. I did not want to regret, so i purchased the best in the market, going with iphone 12. Honestly, I dont feel its worthy. Perfomance wise, its good. A lot other phones like MI, 1+ everything gives us a very nice perfomance too. The A14 chip is just a tag line to sell the phone. Are we really going to process million instructions per second on a mobile phone? Defenitely not.

Battery, After charging it to 100% in the morning, I am hardly getting 1 full day with average use. My battery is almost 20% at the end of the day with a screentime of 4-4.3 hours[Update : With low power mode, it makes a 6 hour day, ending with 30%]. Camera quality is amazing in natural light. Yes, as specified it works so nice in night light, but please dont mistake night light as no-light. Front camera is still average. The same things i see in every other mid range android phones. I am still using JIO 4g. Not sure how this would work on 5g (must drain even faster)

Face detenction, the color of the phone, Water resistant and all stuffs are nice to have, fancy items. But not really convinced if this is all we get for 84k?

Fast charging - I bought a 20W charger from apple store for Rs.1900. I plug in when the battery is 20-25% and it takes 1.45 hours to reach 100%. If this is all about fast charging you are looking for, well and good. I never tried with magsafe, honestly. But this to me doesnt seem fast charging for 2800~ mah battery.

I wont say that this phone is too poor. It gives us all that it promises. Personally I dont recommend investing 85k Indian money into this. Either go for lower versions of other iphones like 11 or you can wait for an year and buy this at cheaper cost.

PROS : Camera & Perfomance
CONS : Battery and Cost",Reviewed in India on 18 December 2020,Not Really worth the money,128GB,Verified Purchase
9,White,"I am writing this review after 40 days of use of iPhone 12. phone camera is excellent like DSLR ,very fast processor ,face ID feature looks great ,overall everything is fine but only issue which this phone has is , battery draining too fast. You can use 100% battery only for 5-6 hours of continuous use after that you have to charge it. Apple should look into this.",Reviewed in India on 7 November 2020,"Performance is excellent,battery draining too fast and heating issue",128GB,Verified Purchase
